model,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,params
RandomForest,0.9515942028985508,0.021973827037125755,0.9437908496732026,0.032229579295067055,0.9294117647058824,0.06859943405700356,0.9344946926138876,0.032009813391573355,0.9918501883512025,0.011261204745845235,0.17501258850097656,0.02253759800232145,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}"
RandomForest,0.9515942028985508,0.021973827037125755,0.9437908496732026,0.032229579295067055,0.9294117647058824,0.06859943405700356,0.9344946926138876,0.032009813391573355,0.9918501883512025,0.011261204745845235,0.1652461051940918,0.011438037783571664,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}"
RandomForest,0.9515942028985508,0.021973827037125755,0.9437908496732026,0.032229579295067055,0.9294117647058824,0.06859943405700356,0.9344946926138876,0.032009813391573355,0.9918501883512025,0.011261204745845235,0.17502956390380858,0.04874571147830789,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 16, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}"
RandomForest,0.9516908212560388,0.009186368559617176,0.9346826625386996,0.03772271771031912,0.9411764705882353,0.05261336417646565,0.9359160490352441,0.013810571470343957,0.9916690814256738,0.009695430324150468,0.16299200057983398,0.010884948537020945,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 8, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}"
RandomForest,0.9516908212560388,0.009186368559617176,0.9346826625386996,0.03772271771031912,0.9411764705882353,0.05261336417646565,0.9359160490352441,0.013810571470343957,0.9916690814256738,0.009695430324150468,0.1591322898864746,0.012386915853079798,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}"
RandomForest,0.9516908212560388,0.009186368559617176,0.9346826625386996,0.03772271771031912,0.9411764705882353,0.05261336417646565,0.9359160490352441,0.013810571470343957,0.9916690814256738,0.009695430324150468,0.163218355178833,0.01945459645338663,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 16, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}"
RandomForest,0.9516908212560388,0.009186368559617176,0.9346826625386996,0.03772271771031912,0.9411764705882353,0.05261336417646565,0.9359160490352441,0.013810571470343957,0.9908432338452622,0.010681278063458925,0.3138766288757324,0.03747670223535849,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 500}"
RandomForest,0.9516908212560388,0.009186368559617176,0.9346826625386996,0.03772271771031912,0.9411764705882353,0.05261336417646565,0.9359160490352441,0.013810571470343957,0.9908432338452622,0.010681278063458925,0.3189354419708252,0.018961281657975865,"{'clf__class_weight': None, 'clf__max_depth': 8, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 500}"
RandomForest,0.9516908212560388,0.009186368559617176,0.9346826625386996,0.03772271771031912,0.9411764705882353,0.05261336417646565,0.9359160490352441,0.013810571470343957,0.9908432338452622,0.010681278063458925,0.29231843948364256,0.015346812165546526,"{'clf__class_weight': None, 'clf__max_depth': 16, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 500}"
RandomForest,0.9516908212560388,0.009186368559617176,0.9346826625386996,0.03772271771031912,0.9411764705882353,0.05261336417646565,0.9359160490352441,0.013810571470343957,0.9906331498116488,0.011080466861399112,0.29024200439453124,0.024020065866688037,"{'clf__class_weight': None, 'clf__max_depth': 16, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
